id,noise_type,noise_level,prompt_in,gold_answer
1,typo,light,Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
1,typo,heavy,Who wrpge 'The Gteat Gatsby'?,F. Scott Fitzgerald
1,spacing_punct,light,Who wrote 'The Great Gatsby',F. Scott Fitzgerald
1,spacing_punct,heavy,Who wro te 'T he Great Gatsby'?,F. Scott Fitzgerald
1,emoji,light,Who wrote 'The Great Ga😭tsby'?,F. Scott Fitzgerald
1,emoji,heavy,Who wrote 'The 😊Gr😍eat Gatsby'?,F. Scott Fitzgerald
2,typo,light,Whicj play features Lady Macbeth?,Macbeth
2,typo,heavy,Which play feagures Lady kacbrth?,Macbeth
2,spacing_punct,light,Which play featu res Lady Macbeth?,Macbeth
2,spacing_punct,heavy,W hich play features Lady M acbeth?,Macbeth
2,emoji,light,Which play😭 features Lady Macbeth?,Macbeth
2,emoji,heavy,Which pl🤔🤔ay features Lady Macbeth?,Macbeth
3,typo,light,Whzt is the term for a 14-line poem?,Sonnet
3,typo,heavy,What iw thd term for a 14-line ooem?,Sonnet
3,spacing_punct,light,What is the term for a 14-line poem,Sonnet
3,spacing_punct,heavy,What is  the term for a 14-line poem,Sonnet
3,emoji,light,What is the 😐term for a 14-line poem?,Sonnet
3,emoji,heavy,What is the 😊term for 🤔a 14-line poem?,Sonnet
4,typo,light,Who creaged Sherlock Holmes?,Arthur Conan Doyle
4,typo,heavy,Who vreated Sherlock jolmew?,Arthur Conan Doyle
4,spacing_punct,light,Who created Sherlock Holmes,Arthur Conan Doyle
4,spacing_punct,heavy,Who created Sherloc k Holmes,Arthur Conan Doyle
4,emoji,light,Who create😍d Sherlock Holmes?,Arthur Conan Doyle
4,emoji,heavy,Who created Sherlock Holm😶es😭?,Arthur Conan Doyle
5,typo,light,Which novrl begins with 'Call me Ishmael'?,Moby-Dick
5,typo,heavy,Which npvel begins with 'Call md Idhmael'?,Moby-Dick
5,spacing_punct,light,Which novel begins with 'Call me Ishmael',Moby-Dick
5,spacing_punct,heavy,Which novel begins with 'Call me Ishmael',Moby-Dick
5,emoji,light,Which novel begins with 'Call me 😍Ishmael'?,Moby-Dick
5,emoji,heavy,Which nove😭l be😭gins with 'Call me Ishmael'?,Moby-Dick
6,typo,light,Who wrote 'Ptide and Prejudice'?,Jane Austen
6,typo,heavy,Who wrote 'Ptide and Prejudice'?,Jane Austen
6,spacing_punct,light,Wh o wrote 'Pride and Prejudice'?,Jane Austen
6,spacing_punct,heavy,Who wrote 'Pride and Prejud ice',Jane Austen
6,emoji,light,Who wrote 'Pride and Prej😊udice'?,Jane Austen
6,emoji,heavy,Who🙂 wrote 'Pride and Prejud🤔ice'?,Jane Austen
7,typo,light,What is the pen name pf Samuel Clemens?,Mark Twain
7,typo,heavy,What is the pen name od Samuel Clenens?,Mark Twain
7,spacing_punct,light,What is the pen name of S amuel Clemens?,Mark Twain
7,spacing_punct,heavy,What is the  pen name of Samuel Clem ens?,Mark Twain
7,emoji,light,What is the pen name of Samuel Clemens?😶,Mark Twain
7,emoji,heavy,What is the pen name😐 of Samuel Clemens?😍,Mark Twain
8,typo,light,Which epic poem featurew Achilles?,The Iliad
8,typo,heavy,Which epic piem feayures Achioles?,The Iliad
8,spacing_punct,light,Which epic poem features Achilles,The Iliad
8,spacing_punct,heavy,Which epi c poem features Achilles,The Iliad
8,emoji,light,Which epi😍c poem features Achilles?,The Iliad
8,emoji,heavy,Which epic poem featur😶es Achilles🙂?,The Iliad
9,typo,light,Who is the author of '1984'?,George Orwell
9,typo,heavy,Who is tge authir of '1984'?,George Orwell
9,spacing_punct,light,Who is the author of '1984',George Orwell
9,spacing_punct,heavy,Wh o is the author of '1984',George Orwell
9,emoji,light,Who is the author 🤔of '1984'?,George Orwell
9,emoji,heavy,Who is🤔😍 the author of '1984'?,George Orwell
10,typo,light,What is the genre of 'Dracila'?,Gothic
10,typo,heavy,Whqt oa the genre of 'Dracula'?,Gothic
10,spacing_punct,light,What is the genre of 'Dracula',Gothic
10,spacing_punct,heavy,What is the genre   of 'Dracula'?,Gothic
10,emoji,light,What is the genre of🙂 'Dracula'?,Gothic
10,emoji,heavy,What is the g😍en😐re of 'Dracula'?,Gothic
11,typo,light,Who wrote 'Thd Waste Land'?,T. S. Eliot
11,typo,heavy,qho wrote 'Tje Waste Lahd'?,T. S. Eliot
11,spacing_punct,light,Who wrote 'The Waste Land',T. S. Eliot
11,spacing_punct,heavy,Who wrote ' The Waste Land',T. S. Eliot
11,emoji,light,Who wrote 'The Waste Land'🙂?,T. S. Eliot
11,emoji,heavy,Who wro🙂t😶e 'The Waste Land'?,T. S. Eliot
12,typo,light,Which Shakespeare play has a jealoys Moor?,Othello
12,typo,heavy,Which Shakespeare play has a jealoud kior?,Othello
